bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
1,"((0, 35), (51, 63))","[0, 40, 64]","[[1452    0]
 [   0 1408]]",12081248.894944305,0.0,0.0,False
1,"((0, 33), (51, 63))","[0, 39, 64]","[[1452    0]
 [   0 1408]]",11899079.0915889,0.0,0.0,False
1,"((0, 24), (48, 63))","[0, 33, 64]","[[1452    0]
 [   0 1408]]",11737690.506324317,0.0,0.0,False
1,"((0, 20), (48, 63))","[0, 30, 64]","[[1452    0]
 [   0 1408]]",11672582.8453428,0.0,0.0,False
1,"((0, 35), (54, 63))","[0, 42, 64]","[[1452    0]
 [   0 1408]]",11499111.531284494,0.0,0.0,False
1,"((0, 20), (46, 63))","[0, 28, 64]","[[1452    0]
 [   0 1408]]",11450920.664963717,0.0,0.0,False
1,"((0, 33), (54, 63))","[0, 41, 64]","[[1452    0]
 [   0 1408]]",11333954.541241212,0.0,0.0,False
1,"((0, 28), (50, 63))","[0, 36, 64]","[[1452    0]
 [   0 1408]]",11318093.628091594,0.0,0.0,False
1,"((0, 39), (55, 63))","[0, 46, 64]","[[1452    0]
 [   0 1408]]",11315709.362785092,0.0,0.0,False
1,"((0, 27), (50, 63))","[0, 36, 64]","[[1452    0]
 [   0 1408]]",11297838.738816503,0.0,0.0,False
1,"((0, 32), (51, 63))","[0, 39, 64]","[[1452    0]
 [   0 1408]]",11282380.022727933,0.0,0.0,False
1,"((0, 20), (49, 63))","[0, 29, 64]","[[1452    0]
 [   0 1408]]",11223635.724612216,0.0,0.0,False
1,"((0, 30), (51, 63))","[0, 39, 64]","[[1452    0]
 [   0 1408]]",11192368.839427661,0.0,0.0,False
1,"((0, 39), (56, 63))","[0, 45, 64]","[[1452    0]
 [   0 1408]]",11174710.675427373,0.0,0.0,False
1,"((0, 28), (51, 63))","[0, 38, 64]","[[1452    0]
 [   0 1408]]",11142980.478680031,0.0,0.0,False
1,"((0, 20), (47, 63))","[0, 28, 64]","[[1452    0]
 [   0 1408]]",11131794.75753416,0.0,0.0,False
1,"((0, 21), (48, 63))","[0, 31, 64]","[[1452    0]
 [   0 1408]]",11127369.391591728,0.0,0.0,False
